Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
COLGATE MAXFRESH PEPPERMINT TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,92,,,,COLGATEMAXFRESHPEPPERMINTTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE SWARNA VEDSHAKTI TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,52,,,,COLGATESWARNAVEDSHAKTITOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE KIDS TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,90,,,,COLGATEKIDSTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE AMINO SHAKTI TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,95,,,,COLGATEAMINOSHAKTITOOTHPASTE.PNG,,,,,,,,,,,,,
COLGATE AMINO SHAKTI TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,52,,,,COLGATEAMINOSHAKTITOOTHPASTE.PNG,,,,,,,,,,,,,
COLIN,,8.90E+12,COLIN,,,,,,89,,,,COLIN.JPG/.JPEG,,,,,,,,,,,,,
COLIN,,8.90E+12,COLIN,,,,,,58,,,,COLIN.JPG/.JPEG,,,,,,,,,,,,,
HONEY,,8.90E+12,DABUR,,,,,,62,,,,HONEY.JPG/.JPEG,,,,,,,,,,,,,
HONEY,,8.90E+12,DABUR,,,,,,99,,,,HONEY.JPG/.JPEG,,,,,,,,,,,,,
HONEY,,8.90E+12,DABUR,,,,,,199,,,,HONEY.JPG/.JPEG,,,,,,,,,,,,,
GULAB JAL,,89005583,DABUR,,,,,,28,,,,GULABJAL.JPG/.JPEG,,,,,,,,,,,,,
CHAVANPRASH,,8.90E+12,DABUR,,,,,,180,,,,CHAVANPRASH.JPG/.JPEG,,,,,,,,,,,,,
ODOMOS MOSQUITO REPELLENT,,8.90E+12,DABUR,,,,,,90,,,,ODOMOSMOSQUITOREPELLENT.JPG/.JPEG,,,,,,,,,,,,,
ODOMOS MOSQUITO REPELLENT,,8.90E+12,DABUR,,,,,,50,,,,ODOMOSMOSQUITOREPELLENT.JPG/.JPEG,,,,,,,,,,,,,
GULABARI GULAB JAL,,89005590,DABUR,,,,,,45,,,,GULABARIGULABJAL.JPG/.JPEG,,,,,,,,,,,,,
GULABARI GULAB JAL,,89005606,DABUR,,,,,,75,,,,GULABARIGULABJAL.JPG/.JPEG,,,,,,,,,,,,,
DABUR MESWAK TOOTHPASTE,,8.90E+12,DABUR,,,,,,97,,,,DABURMESWAKTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
DABUR RED TOOTHPASTE,,8.90E+12,DABUR,,,,,,52,,,,DABURREDTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
DABUR RED TOOTHPASTE,,8.90E+12,DABUR,,,,,,95,,,,DABURREDTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
HONEY,,8.90E+12,DABUR,,,,,,62,,,,HONEY.JPG/.JPEG,,,,,,,,,,,,,
HONEY,,8.90E+12,DABUR,,,,,,395,,,,HONEY.JPG/.JPEG,,,,,,,,,,,,,
HONEY,,8.90E+12,DABUR,,,,,,199,,,,HONEY.JPG/.JPEG,,,,,,,,,,,,,
HONEY,,8.90E+12,DABUR,,,,,,99,,,,HONEY.JPG/.JPEG,,,,,,,,,,,,,
HONEY SQUEEZY,,8.90E+12,DABUR,,,,,,160,,,,HONEYSQUEEZY.JPG/.JPEG,,,,,,,,,,,,,
HAJMOLA,,8.90E+12,DABUR,,,,,,40,,,,HAJMOLA.JPG/.JPEG,,,,,,,,,,,,,
5 STAR CHOCLATE,,8.90E+12,DABUR,,,,,,10,,,,5 STARSTARCHOCLATE.JPG/.JPEG,,,,,,,,,,,,,
CHAWANPRASH,,8.90E+12,DABUR,,,,,,180,,,,CHAWANPRASH.JPG/.JPEG,,,,,,,,,,,,,
CHAWANPRASH,,8.90E+12,DABUR,,,,,,325,,,,CHAWANPRASH.JPG/.JPEG,,,,,,,,,,,,,
CHAWANPRASH SUGARFREE,,8.90E+12,DABUR,,,,,,210,,,,CHAWANPRASHSUGARFREE.JPG/.JPEG,,,,,,,,,,,,,
CHAWANPRASH SUGARFREE,,8.90E+12,DABUR,,,,,,370,,,,CHAWANPRASHSUGARFREE.JPG/.JPEG,,,,,,,,,,,,,
ROZANA BASMATI RICE,,8.90E+12,DAWAT,,,,,,99,,,,ROZANABASMATIRICE.JPG/.JPEG,,,,,,,,,,,,,
OLIVE OIL,,8.90E+12,DEL MONTE,,,,,,850,,,,OLIVEOIL.JPG/.JPEG,,,,,,,,,,,,,
HANDWASH,,8.90E+12,DETTOL,,,,,,99,,,,HANDWASH.JPG/.JPEG,,,,,,,,,,,,,
DETTOL,,8.90E+12,DETTOL,,,,,,99,,,,DETTOL.JPG/.JPEG,,,,,,,,,,,,,
DHAMPUR SUGAR,,8.90E+12,DHAMPUR,,,,,,65,,,,DHAMPURSUGAR.JPG/.JPEG,,,,,,,,,,,,,
DHAMPUR GREEN SUGAR,,8.90E+12,DHAMPUR,,,,,,80,,,,DHAMPURGREENSUGAR.JPG/.JPEG,,,,,,,,,,,,,
CLEANZO WHITE PHENYL,,8.91E+12,DIVYA SOAPS,,,,,,250,,,,CLEANZOWHITEPHENYL.JPG/.JPEG,,,,,,,,,,,,,
SHAMPOO,,8.90E+12,DOVE,,,,,,110,,,,SHAMPOO.JPG/.JPEG,,,,,,,,,,,,,
SHAMPOO,,8.90E+12,DOVE,,,,,,230,,,,SHAMPOO.JPG/.JPEG,,,,,,,,,,,,,
NAVRATAN COOL BLAST POWDER,,8.90E+12,EMAMI,,,,,,86,,,,NAVRATANCOOLBLASTPOWDER.JPG/.JPEG,,,,,,,,,,,,,
BOROPLUS ANITSEPTIC CREAM,,8.90E+12,EMAMI,,,,,,150,,,,BOROPLUSANITSEPTICCREAM.JPG/.JPEG,,,,,,,,,,,,,
