Name,code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
OLD SPICE MUSK SHAVING CREAM,4902430649568,code128,RUBICON FORMULATIONS,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
GILLETTE VECTOR RAZOR,4902430787154,code128,P&G,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
HIMALYA SPARKLING WHITE TOOTHPASTE,8901138836115,code128,HIMALAYA,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
MOUNTAIN DEW 1.25L,8902080364565,code128,PEPSICO,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
SAUNDARYA FACE WASH,8904109450426,code128,PATANJALI,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
TENDER COCONUT WATER,8906009300603,code128,SHAKTI COCO,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
TISSUE PAPER 1 PLY,8907250322017,code128,PASEO,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
KALA CHANA,8904043926308,code128,TATA SAMPANN,C1,1111,,,61.00,61.00,,,,,,,,,,,,,,,Mr Demo Supplier,,61.00
JOHNSONS BABY SOAP,8901012116654,code128,JHONSON & JHONSON,C1,1111,,,62.00,62.00,,,,,,,,,,,,,,,Mr Demo Supplier,,62.00
HONEY,8901207005374,code128,DABUR,C1,1111,,,62.00,62.00,,,,,,,,,,,,,,,Mr Demo Supplier,,62.00
HONEY,8901207005374,code128,DABUR,C1,1111,,,62.00,62.00,,,,,,,,,,,,,,,Mr Demo Supplier,,62.00
CHANNA MASALA,8902167000089,code128,MDH,C1,1111,,,62.00,62.00,,,,,,,,,,,,,,,Mr Demo Supplier,,62.00
